id,name,kana,name_en,hexCode,red,green,blue
99,瑠璃色,るりいろ,ruri-iro,#3451A4,52,81,164
100,瑠璃紺,るりこん,rurikon,#324784,50,71,132
101,紺色,こんいろ,koni-iro,#333C5E,51,60,94
102,杜若色,かきつばたいろ,kakitsubatairo,#4C5DAB,76,93,171
103,群青色,ぐんじょういろ,gunjou-iro,#414FA3,65,79,163
104,勝色,かちいろ,kachiiro,#383C57,56,60,87
105,鉄紺,てつこん,tetsukon,#232538,35,37,56
106,鉛色,なまりいろ,namariiro,#797A88,121,122,136
107,藤納戸,ふじなんど,fujinandou,#6869A8,104,105,168
108,紺藍,こんあい,konai,#35357D,53,53,125
109,桔梗色,ききょういろ,kikyouiro,#4A49AD,74,73,173
110,藤色,ふじいろ,fuji-iro,#A09BD8,160,155,216
111,藤紫,ふじむらさき,fujimurasaki,#948BDB,148,139,219
112,鳩羽色,はとばいろ,hatobairo,#675D7E,103,93,126
113,菫色,すみれいろ,sumire-iro,#6D52AB,109,82,171
114,青紫,あおむらさき,aomurasaki,#704CBC,112,76,188
115,江戸紫,えどむらさき,edomurasaki,#5F4C86,95,76,134
116,菖蒲色,しょうぶいろ,shoubuiro,#7051AA,112,81,170
117,茄子紺,なすこん,nasukon,#47384F,71,56,79
118,古代紫,こだいむらさき,kodaimurasaki,#775686,119,86,134
119,紫,むらさき,murasaki,#A260BF,162,96,191
120,紫紺,しこん,shikon,#402949,64,41,73
121,菖蒲色,あやめいろ,ayameiro,#C27BC8,194,123,200
122,牡丹色,ぼたんいろ,botan-iro,#C24DAE,194,77,174
123,赤紫,あかむらさき,akamurasaki,#C54EA0,197,78,160
124,躑躅色,つつじいろ,tsutsuji-iro,#CB4B94,203,75,148
125,鴇色,ときいろ,tokiiro,#F9A1D0,249,161,208
126,桜色,さくらいろ,sakurairo,#FFDBED,255,219,237
127,胡粉色,ごふんいろ,gofun-iro,#F2E8EC,242,232,236
128,薔薇色,ばらいろ,barairo,#D34778,211,71,120
129,唐紅,からくれない,karakurenai,#E3557F,227,85,127
130,紅色,くれないいろ,kurenai-iro,#BD1E48,189,30,72
131,珊瑚色,さんごいろ,sango-iro,#FF87A0,255,135,160
132,紅赤,べにあか,beniaka,#B92946,185,41,70
133,桃色,ももいろ,momoiro,#E38698,227,134,152
134,紅梅色,こうばいいろ,koubai-iro,#E08899,224,136,153
135,茜色,あかねいろ,akane-iro,#A0283A,160,40,58
136,赤,あか,aka,#BF1E33,191,30,51
137,臙脂色,えんじいろ,enji-iro,#AE3846,174,56,70
138,蘇芳色,すおういろ,suou-iro,#974B52,151,75,82
139,白,しろ,shiro,#F1F1F1,241,241,241
140,銀鼠,ぎんねず,ginnezu,#A0A0A0,160,160,160
141,鼠色,ねずみいろ,nezumiiro,#868686,134,134,134
142,灰色,はいいろ,haiiro,#797979,121,121,121
143,墨,すみ,sumi,#313131,49,49,49
144,黒,くろ,kuro,#262626,38,38,38
145,鉄黒,てつぐろ,tetsuguro,#262626,38,38,38
