108,紺藍,こんあい,#35357D,53,53,125
109,桔梗色,ききょういろ,#4A49AD,74,73,173
110,藤色,ふじいろ,#A09BD8,160,155,216
111,藤紫,ふじむらさき,#948BDB,148,139,219
112,鳩羽色,はとばいろ,#675D7E,103,93,126
113,菫色,すみれいろ,#6D52AB,109,82,171
114,青紫,あおむらさき,#704CBC,112,76,188
115,江戸紫,えどむらさき,#5F4C86,95,76,134
116,菖蒲色,しょうぶいろ,#7051AA,112,81,170
117,茄子紺,なすこん,#47384F,71,56,79
118,古代紫,こだいむらさき,#775686,119,86,134
119,紫,むらさき,#A260BF,162,96,191
120,紫紺,しこん,#402949,64,41,73
121,菖蒲色,あやめいろ,#C27BC8,194,123,200
122,牡丹色,ぼたんいろ,#C24DAE,194,77,174
123,赤紫,あかむらさき,#C54EA0,197,78,160
124,躑躅色,つつじいろ,#CB4B94,203,75,148
125,鴇色,ときいろ,#F9A1D0,249,161,208
126,桜色,さくらいろ,#FFDBED,255,219,237
127,胡粉色,ごふんいろ,#F2E8EC,242,232,236
128,薔薇色,ばらいろ,#D34778,211,71,120
129,唐紅,からくれない,#E3557F,227,85,127
130,紅色,くれないいろ,#BD1E48,189,30,72
131,珊瑚色,さんごいろ,#FF87A0,255,135,160
132,紅赤,べにあか,#B92946,185,41,70
133,桃色,ももいろ,#E38698,227,134,152
134,紅梅色,こうばいいろ,#E08899,224,136,153
135,茜色,あかねいろ,#A0283A,160,40,58
136,赤,あか,#BF1E33,191,30,51
137,臙脂色,えんじいろ,#AE3846,174,56,70
138,蘇芳色,すおういろ,#974B52,151,75,82
139,白,しろ,#F1F1F1,241,241,241
140,銀鼠,ぎんねず,#A0A0A0,160,160,160
141,鼠色,ねずみいろ,#868686,134,134,134
142,灰色,はいいろ,#797979,121,121,121
143,墨,すみ,#313131,49,49,49
144,黒,くろ,#262626,38,38,38
145,鉄黒,てつぐろ,#262626,38,38,38
